,Date,AQI,Sample_Duration,Pollutant_Type
395,2010-02-19,6,1 HOUR,42602
396,2010-02-20,6,1 HOUR,42602
397,2010-02-20,6,1 HOUR,42602
398,2010-02-21,4,1 HOUR,42602
399,2010-02-21,4,1 HOUR,42602
400,2010-02-22,8,1 HOUR,42602
401,2010-02-22,8,1 HOUR,42602
402,2010-02-23,4,1 HOUR,42602
403,2010-02-23,4,1 HOUR,42602
404,2010-02-24,2,1 HOUR,42602
405,2010-02-24,2,1 HOUR,42602
406,2010-02-25,5,1 HOUR,42602
407,2010-02-25,5,1 HOUR,42602
408,2010-02-26,8,1 HOUR,42602
409,2010-02-26,8,1 HOUR,42602
410,2010-02-27,9,1 HOUR,42602
411,2010-02-27,9,1 HOUR,42602
412,2010-02-28,3,1 HOUR,42602
413,2010-02-28,3,1 HOUR,42602
414,2010-03-01,2,1 HOUR,42602
415,2010-03-01,2,1 HOUR,42602
416,2010-03-02,4,1 HOUR,42602
417,2010-03-02,4,1 HOUR,42602
418,2010-03-03,13,1 HOUR,42602
419,2010-03-03,13,1 HOUR,42602
420,2010-03-04,15,1 HOUR,42602
421,2010-03-04,15,1 HOUR,42602
422,2010-03-05,8,1 HOUR,42602
423,2010-03-05,8,1 HOUR,42602
424,2010-03-06,21,1 HOUR,42602
425,2010-03-06,21,1 HOUR,42602
426,2010-03-07,24,1 HOUR,42602
427,2010-03-07,24,1 HOUR,42602
428,2010-03-08,13,1 HOUR,42602
429,2010-03-08,13,1 HOUR,42602
430,2010-03-09,3,1 HOUR,42602
431,2010-03-09,3,1 HOUR,42602
432,2010-03-10,29,1 HOUR,42602
433,2010-03-10,29,1 HOUR,42602
434,2010-03-11,8,1 HOUR,42602
435,2010-03-11,8,1 HOUR,42602
436,2010-03-12,4,1 HOUR,42602
437,2010-03-12,4,1 HOUR,42602
438,2010-03-13,7,1 HOUR,42602
439,2010-03-13,7,1 HOUR,42602
440,2010-03-14,5,1 HOUR,42602
441,2010-03-14,5,1 HOUR,42602
442,2010-03-15,5,1 HOUR,42602
443,2010-03-15,5,1 HOUR,42602
444,2010-03-16,5,1 HOUR,42602
445,2010-03-16,5,1 HOUR,42602
446,2010-03-17,3,1 HOUR,42602
447,2010-03-17,3,1 HOUR,42602
448,2010-03-18,3,1 HOUR,42602
449,2010-03-18,3,1 HOUR,42602
450,2010-03-19,3,1 HOUR,42602
451,2010-03-19,3,1 HOUR,42602
452,2010-03-20,2,1 HOUR,42602
453,2010-03-20,2,1 HOUR,42602
454,2010-03-21,2,1 HOUR,42602
455,2010-03-21,2,1 HOUR,42602
456,2010-03-22,3,1 HOUR,42602
457,2010-03-22,3,1 HOUR,42602
458,2010-03-23,2,1 HOUR,42602
459,2010-03-23,2,1 HOUR,42602
460,2010-03-24,3,1 HOUR,42602
461,2010-03-24,3,1 HOUR,42602
462,2010-03-25,2,1 HOUR,42602
463,2010-03-25,2,1 HOUR,42602
464,2010-03-26,1,1 HOUR,42602
465,2010-03-26,1,1 HOUR,42602
466,2010-03-27,2,1 HOUR,42602
467,2010-03-27,2,1 HOUR,42602
468,2010-03-28,5,1 HOUR,42602
469,2010-03-28,5,1 HOUR,42602
470,2010-03-29,4,1 HOUR,42602
471,2010-03-29,4,1 HOUR,42602
472,2010-03-30,1,1 HOUR,42602
473,2010-03-30,1,1 HOUR,42602
474,2010-03-31,3,1 HOUR,42602
475,2010-03-31,3,1 HOUR,42602
476,2017-01-19,0,1 HOUR,42401
477,2017-01-19,0,1 HOUR,42401
478,2017-01-20,3,1 HOUR,42401
479,2017-01-20,3,1 HOUR,42401
480,2017-01-21,3,1 HOUR,42401
481,2017-01-21,3,1 HOUR,42401
482,2017-01-22,1,1 HOUR,42401
483,2017-01-22,1,1 HOUR,42401
484,2017-01-23,1,1 HOUR,42401
485,2017-01-23,1,1 HOUR,42401
486,2017-01-24,7,1 HOUR,42401
487,2017-01-24,7,1 HOUR,42401
488,2017-01-25,7,1 HOUR,42401
489,2017-01-25,7,1 HOUR,42401
490,2017-01-26,3,1 HOUR,42401
491,2017-01-26,3,1 HOUR,42401
492,2017-01-27,1,1 HOUR,42401
493,2017-01-27,1,1 HOUR,42401
494,2017-01-28,1,1 HOUR,42401
495,2017-01-28,1,1 HOUR,42401
496,2017-01-29,1,1 HOUR,42401
497,2017-01-29,1,1 HOUR,42401
498,2017-01-30,0,1 HOUR,42401
499,2017-01-30,0,1 HOUR,42401
500,2017-01-31,0,1 HOUR,42401
501,2017-01-31,0,1 HOUR,42401
502,2017-02-01,4,1 HOUR,42401
503,2017-02-01,4,1 HOUR,42401
504,2017-02-02,0,1 HOUR,42401
505,2017-02-02,0,1 HOUR,42401
506,2017-02-03,0,1 HOUR,42401
507,2017-02-03,0,1 HOUR,42401
508,2017-02-04,1,1 HOUR,42401
509,2017-02-04,1,1 HOUR,42401
510,2017-02-05,3,1 HOUR,42401
511,2017-02-05,3,1 HOUR,42401
512,2017-02-06,0,1 HOUR,42401
513,2017-02-06,0,1 HOUR,42401
514,2017-02-07,16,1 HOUR,42401
515,2017-02-07,16,1 HOUR,42401
516,2017-02-08,14,1 HOUR,42401
517,2017-02-08,14,1 HOUR,42401
518,2017-02-09,3,1 HOUR,42401
519,2017-02-09,3,1 HOUR,42401
